epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1224.55,0.97604,0.64635,1.0432,0.95414,0.94575,0.98429,0.78617,0.76382,0.4185,0.93472,0.00121591,0.00121591,0.00121591
43,1253.67,0.96847,0.63506,1.0387,0.95637,0.93867,0.98203,0.7779,0.78979,0.45893,0.92842,0.00120491,0.00120491,0.00120491
44,1282.75,0.95615,0.62204,1.02418,0.9615,0.95075,0.98539,0.78288,0.7963,0.43495,0.93334,0.00119391,0.00119391,0.00119391
45,1311.8,0.95308,0.61329,1.02397,0.95759,0.94861,0.98509,0.78384,0.80321,0.42812,0.93257,0.0011829,0.0011829,0.0011829
46,1340.94,0.95071,0.62111,1.02789,0.95101,0.93862,0.9827,0.77937,0.78611,0.45191,0.94763,0.0011719,0.0011719,0.0011719
47,1370.06,0.95352,0.61707,1.02877,0.95792,0.93862,0.98267,0.78964,0.76927,0.44225,0.9342,0.0011609,0.0011609,0.0011609
48,1399.14,0.95577,0.61865,1.03019,0.96076,0.9436,0.98414,0.79035,0.7707,0.43418,0.92525,0.0011499,0.0011499,0.0011499
49,1428.26,0.95898,0.61643,1.02707,0.94348,0.95323,0.9836,0.78589,0.78992,0.44482,0.92926,0.00113889,0.00113889,0.00113889
50,1457.37,0.9414,0.60798,1.02828,0.94588,0.94808,0.98329,0.78733,0.77395,0.44923,0.93259,0.00112789,0.00112789,0.00112789
51,1486.48,0.9421,0.61159,1.02456,0.95604,0.94696,0.98591,0.79295,0.76936,0.43187,0.92894,0.00111689,0.00111689,0.00111689
52,1515.6,0.9484,0.60333,1.0299,0.95358,0.95289,0.98539,0.789,0.78013,0.41707,0.92366,0.00110589,0.00110589,0.00110589
53,1544.67,0.92575,0.60568,1.0178,0.94341,0.96382,0.98469,0.79215,0.76364,0.42019,0.92473,0.00109489,0.00109489,0.00109489
54,1573.78,0.93335,0.59779,1.01745,0.95068,0.95646,0.9864,0.79125,0.7792,0.41814,0.92305,0.00108388,0.00108388,0.00108388
55,1602.93,0.94345,0.60734,1.02503,0.95199,0.94835,0.98434,0.79657,0.74893,0.41801,0.92225,0.00107288,0.00107288,0.00107288
56,1632.06,0.92564,0.5897,1.01766,0.95638,0.94861,0.98543,0.80004,0.74606,0.42405,0.91792,0.00106188,0.00106188,0.00106188
57,1661.17,0.92724,0.59166,1.01512,0.95816,0.94796,0.98588,0.80818,0.73402,0.39708,0.91829,0.00105088,0.00105088,0.00105088
58,1690.29,0.92729,0.58917,1.02058,0.94978,0.94498,0.98297,0.79121,0.76209,0.42179,0.92239,0.00103987,0.00103987,0.00103987
59,1719.41,0.91992,0.58784,1.01754,0.94436,0.96914,0.98482,0.80104,0.75741,0.39655,0.92765,0.00102887,0.00102887,0.00102887
60,1748.51,0.92499,0.58811,1.01509,0.95362,0.94647,0.98394,0.79617,0.76633,0.4112,0.92231,0.00101787,0.00101787,0.00101787
61,1777.65,0.92912,0.59596,1.02094,0.96334,0.93788,0.98417,0.80117,0.75259,0.41523,0.92793,0.00100687,0.00100687,0.00100687
62,1806.77,0.91407,0.5804,1.01222,0.94869,0.95575,0.98482,0.80495,0.74321,0.3982,0.92352,0.000995866,0.000995866,0.000995866
63,1835.89,0.91891,0.57887,1.01387,0.96037,0.95141,0.98469,0.7987,0.77346,0.40114,0.9279,0.000984864,0.000984864,0.000984864
64,1864.98,0.90949,0.57608,1.00712,0.95303,0.95591,0.98513,0.80662,0.72843,0.39486,0.91999,0.000973861,0.000973861,0.000973861
65,1894.07,0.92063,0.58586,1.01394,0.9492,0.95789,0.98598,0.80732,0.74181,0.39342,0.92422,0.000962859,0.000962859,0.000962859
66,1923.15,0.89787,0.5684,1.00758,0.95833,0.95199,0.98566,0.80563,0.74549,0.39786,0.92489,0.000951857,0.000951857,0.000951857
67,1952.27,0.91205,0.5781,1.01799,0.94457,0.9636,0.98668,0.79989,0.75932,0.4026,0.9254,0.000940855,0.000940855,0.000940855
68,1981.37,0.90443,0.5684,1.00853,0.95093,0.96288,0.98712,0.80843,0.73511,0.38912,0.91917,0.000929853,0.000929853,0.000929853
69,2010.45,0.90426,0.57079,1.01003,0.94648,0.96146,0.98632,0.80643,0.73829,0.4298,0.91576,0.00091885,0.00091885,0.00091885
70,2039.56,0.90123,0.57338,1.00681,0.9457,0.96955,0.9868,0.79421,0.78181,0.39384,0.92798,0.000907848,0.000907848,0.000907848
71,2068.67,0.88926,0.56407,1.00109,0.96034,0.95068,0.9839,0.80036,0.75035,0.38524,0.92336,0.000896846,0.000896846,0.000896846
72,2097.78,0.90502,0.57088,1.0074,0.95059,0.96128,0.98545,0.8112,0.74037,0.38991,0.923,0.000885844,0.000885844,0.000885844
73,2126.88,0.89792,0.56115,1.00456,0.952,0.9627,0.98671,0.81224,0.74115,0.37818,0.91913,0.000874842,0.000874842,0.000874842
74,2155.98,0.89843,0.5637,1.01201,0.95099,0.97074,0.98762,0.8115,0.73286,0.38567,0.91598,0.000863839,0.000863839,0.000863839
75,2185.07,0.88133,0.55569,1.00231,0.94867,0.96291,0.986,0.81086,0.74025,0.39234,0.92459,0.000852837,0.000852837,0.000852837
76,2214.17,0.87962,0.55361,0.99674,0.94882,0.96589,0.98562,0.80968,0.72217,0.38414,0.91518,0.000841835,0.000841835,0.000841835
77,2243.3,0.90062,0.57584,1.00822,0.94954,0.96431,0.98633,0.80566,0.73727,0.38436,0.92226,0.000830833,0.000830833,0.000830833
78,2272.38,0.88768,0.54864,0.99892,0.95567,0.95931,0.98592,0.81126,0.73454,0.38154,0.91722,0.000819831,0.000819831,0.000819831
79,2301.49,0.86906,0.54648,0.9941,0.94933,0.96282,0.98618,0.80803,0.73504,0.38674,0.92055,0.000808828,0.000808828,0.000808828
80,2330.6,0.88413,0.5542,1.00179,0.95687,0.9502,0.98672,0.80611,0.73602,0.38101,0.91935,0.000797826,0.000797826,0.000797826
81,2359.7,0.8787,0.54645,0.99854,0.95054,0.96146,0.98678,0.81306,0.71931,0.38352,0.91211,0.000786824,0.000786824,0.000786824
82,2388.79,0.87761,0.53849,0.99824,0.94534,0.96282,0.98717,0.80784,0.74369,0.37415,0.92453,0.000775822,0.000775822,0.000775822
83,2417.9,0.8857,0.55378,0.99896,0.94755,0.96707,0.98698,0.81086,0.72912,0.37526,0.91928,0.00076482,0.00076482,0.00076482
84,2447.04,0.87928,0.54411,0.99449,0.95419,0.96003,0.98714,0.81621,0.72418,0.36946,0.91305,0.000753817,0.000753817,0.000753817
85,2476.17,0.86757,0.54184,0.99041,0.95161,0.9586,0.98757,0.81559,0.72467,0.37425,0.91478,0.000742815,0.000742815,0.000742815
86,2505.26,0.88819,0.55889,1.00858,0.95443,0.96217,0.98677,0.81232,0.7303,0.37481,0.91676,0.000731813,0.000731813,0.000731813
87,2534.4,0.85418,0.53298,0.98575,0.9534,0.96003,0.98734,0.81667,0.73154,0.36916,0.91608,0.000720811,0.000720811,0.000720811
88,2563.5,0.87364,0.53755,0.99727,0.95718,0.96074,0.9881,0.8115,0.73178,0.37127,0.91704,0.000709809,0.000709809,0.000709809
89,2592.59,0.86809,0.53895,0.99637,0.95255,0.95999,0.98722,0.80874,0.73408,0.37488,0.91488,0.000698806,0.000698806,0.000698806
90,2621.69,0.86913,0.536,0.9949,0.95993,0.96074,0.98779,0.81025,0.74387,0.36509,0.91446,0.000687804,0.000687804,0.000687804
91,2650.85,0.86347,0.53678,0.99181,0.9507,0.96645,0.98733,0.81641,0.73423,0.37075,0.9191,0.000676802,0.000676802,0.000676802
92,2679.97,0.85137,0.5297,0.98743,0.95643,0.96146,0.98796,0.81834,0.72633,0.36961,0.91679,0.0006658,0.0006658,0.0006658
93,2709.07,0.86763,0.53047,0.99233,0.95402,0.96254,0.987,0.81549,0.72712,0.36357,0.91777,0.000654798,0.000654798,0.000654798
94,2738.2,0.86747,0.52931,0.99353,0.95455,0.95931,0.98664,0.81523,0.73853,0.36725,0.91751,0.000643795,0.000643795,0.000643795
95,2767.3,0.85673,0.52713,0.9897,0.9523,0.9636,0.98687,0.81405,0.72907,0.35955,0.91345,0.000632793,0.000632793,0.000632793
96,2796.41,0.85951,0.52557,0.99388,0.96205,0.95901,0.98699,0.82013,0.71567,0.35812,0.91257,0.000621791,0.000621791,0.000621791
97,2825.52,0.86201,0.52865,0.99533,0.95812,0.96352,0.98632,0.81922,0.71469,0.35826,0.91368,0.000610789,0.000610789,0.000610789
98,2854.67,0.84249,0.51814,0.98381,0.95576,0.96146,0.98744,0.82118,0.72193,0.35865,0.91233,0.000599787,0.000599787,0.000599787
99,2883.77,0.85594,0.52247,0.99382,0.9608,0.96228,0.98821,0.82358,0.7194,0.35367,0.91433,0.000588784,0.000588784,0.000588784
100,2912.88,0.85586,0.52457,0.98753,0.96145,0.96125,0.9876,0.81698,0.72118,0.36454,0.9145,0.000577782,0.000577782,0.000577782
101,2941.96,0.84021,0.51705,0.9848,0.9579,0.96431,0.98829,0.81855,0.72634,0.3568,0.91358,0.00056678,0.00056678,0.00056678
102,2971.07,0.85369,0.52346,0.99032,0.95732,0.96068,0.98786,0.81992,0.72232,0.35521,0.91729,0.000555778,0.000555778,0.000555778
103,3000.18,0.84003,0.50655,0.98135,0.96084,0.9586,0.98812,0.82085,0.71311,0.35353,0.9124,0.000544776,0.000544776,0.000544776
104,3029.27,0.83911,0.51544,0.98536,0.96465,0.95646,0.98787,0.82008,0.715,0.3568,0.91067,0.000533773,0.000533773,0.000533773
105,3058.38,0.8388,0.50974,0.98068,0.95803,0.95931,0.98753,0.81848,0.71997,0.35441,0.9174,0.000522771,0.000522771,0.000522771
106,3087.51,0.84983,0.50937,0.98839,0.96486,0.96039,0.98792,0.82237,0.71333,0.35068,0.9135,0.000511769,0.000511769,0.000511769
107,3116.61,0.83213,0.50509,0.98166,0.9556,0.96772,0.98749,0.82151,0.71033,0.35314,0.91099,0.000500767,0.000500767,0.000500767
108,3145.68,0.83549,0.514,0.98111,0.96153,0.96335,0.98831,0.82301,0.71359,0.35694,0.90772,0.000489765,0.000489765,0.000489765
109,3174.81,0.84713,0.51261,0.98528,0.95967,0.96814,0.98789,0.82128,0.71861,0.35069,0.91046,0.000478762,0.000478762,0.000478762
110,3203.93,0.83549,0.51031,0.982,0.95967,0.96074,0.98713,0.82532,0.71074,0.35338,0.91028,0.00046776,0.00046776,0.00046776
111,3233.03,0.83455,0.5081,0.98247,0.95945,0.96257,0.98676,0.82079,0.72534,0.35309,0.91206,0.000456758,0.000456758,0.000456758
112,3262.16,0.82165,0.502,0.97545,0.96057,0.96217,0.98688,0.82061,0.72023,0.35171,0.91157,0.000445756,0.000445756,0.000445756
113,3291.27,0.83301,0.50481,0.97823,0.95687,0.96003,0.9872,0.82162,0.71113,0.35135,0.90772,0.000434754,0.000434754,0.000434754
114,3320.36,0.83132,0.50976,0.98298,0.95769,0.96502,0.98818,0.82443,0.71548,0.34595,0.91202,0.000423751,0.000423751,0.000423751
115,3349.47,0.82351,0.50028,0.97856,0.9563,0.96645,0.98746,0.82235,0.7176,0.34819,0.91158,0.000412749,0.000412749,0.000412749
116,3378.58,0.82562,0.49982,0.97695,0.96421,0.96162,0.98797,0.82349,0.71655,0.34809,0.91246,0.000401747,0.000401747,0.000401747
117,3407.7,0.8122,0.49515,0.97056,0.96148,0.96207,0.9879,0.82332,0.71472,0.35212,0.91064,0.000390745,0.000390745,0.000390745
118,3436.8,0.82076,0.49327,0.97523,0.95005,0.97074,0.98758,0.82108,0.7203,0.35094,0.91313,0.000379743,0.000379743,0.000379743
119,3465.93,0.81819,0.4953,0.97403,0.96146,0.96159,0.98788,0.82271,0.71837,0.35434,0.91521,0.00036874,0.00036874,0.00036874
120,3495.05,0.82983,0.49726,0.98281,0.95599,0.96502,0.98782,0.82105,0.72073,0.35494,0.91331,0.000357738,0.000357738,0.000357738
121,3524.17,0.8239,0.50391,0.97985,0.9618,0.96217,0.98783,0.82275,0.71974,0.35001,0.91628,0.000346736,0.000346736,0.000346736
122,3553.29,0.81174,0.48947,0.97064,0.95563,0.96847,0.9878,0.81894,0.7228,0.3467,0.91587,0.000335734,0.000335734,0.000335734
123,3582.39,0.80989,0.486,0.97014,0.95754,0.96574,0.9878,0.82491,0.71803,0.3437,0.91489,0.000324732,0.000324732,0.000324732
124,3611.52,0.81755,0.49365,0.97324,0.96034,0.96217,0.98805,0.824,0.72186,0.34095,0.91579,0.000313729,0.000313729,0.000313729
125,3640.61,0.80168,0.48516,0.97302,0.96549,0.96003,0.98796,0.82568,0.71921,0.34103,0.91559,0.000302727,0.000302727,0.000302727
126,3669.74,0.79756,0.47526,0.96691,0.96357,0.96279,0.98838,0.82524,0.71709,0.34138,0.91477,0.000291725,0.000291725,0.000291725
127,3698.83,0.8016,0.4779,0.96739,0.95618,0.96574,0.98879,0.827,0.71675,0.34229,0.91616,0.000280723,0.000280723,0.000280723
128,3727.97,0.8014,0.48011,0.96709,0.95503,0.97017,0.98854,0.82425,0.71405,0.34388,0.91377,0.000269721,0.000269721,0.000269721
129,3757.06,0.79751,0.4839,0.96854,0.95171,0.97058,0.98858,0.82537,0.71277,0.34599,0.91178,0.000258718,0.000258718,0.000258718
130,3786.15,0.80917,0.484,0.97294,0.95305,0.97145,0.98835,0.82482,0.71374,0.34712,0.91186,0.000247716,0.000247716,0.000247716
131,3815.25,0.81062,0.47325,0.97167,0.95109,0.97074,0.98862,0.82626,0.71611,0.34288,0.91215,0.000236714,0.000236714,0.000236714
132,3844.35,0.80266,0.48042,0.97396,0.95082,0.97216,0.98845,0.8261,0.71427,0.34262,0.91152,0.000225712,0.000225712,0.000225712
133,3873.46,0.78461,0.46649,0.95867,0.94959,0.97145,0.98831,0.82593,0.7155,0.34261,0.91132,0.00021471,0.00021471,0.00021471
134,3902.58,0.80897,0.47864,0.97665,0.95754,0.96579,0.98809,0.8257,0.71787,0.34574,0.91246,0.000203707,0.000203707,0.000203707
135,3931.69,0.79491,0.47793,0.96661,0.95684,0.96525,0.98805,0.82437,0.71648,0.34488,0.91157,0.000192705,0.000192705,0.000192705
136,3960.79,0.79751,0.48518,0.96787,0.9549,0.96712,0.98786,0.82492,0.71446,0.344,0.91073,0.000181703,0.000181703,0.000181703
137,3989.92,0.7875,0.46615,0.96297,0.95593,0.96717,0.98779,0.82573,0.71043,0.34214,0.90889,0.000170701,0.000170701,0.000170701
138,4019.04,0.78846,0.47047,0.9659,0.96003,0.96004,0.98787,0.82785,0.71136,0.34104,0.91012,0.000159699,0.000159699,0.000159699
139,4048.17,0.78882,0.47064,0.96863,0.95873,0.9636,0.98802,0.82904,0.71067,0.34294,0.9114,0.000148696,0.000148696,0.000148696
140,4077.29,0.78262,0.46413,0.96105,0.95828,0.96741,0.98786,0.82784,0.71086,0.3449,0.91032,0.000137694,0.000137694,0.000137694
141,4106.57,0.70011,0.36466,0.92965,0.94886,0.97145,0.9878,0.82542,0.71422,0.34859,0.91153,0.000126692,0.000126692,0.000126692
142,4135.48,0.69282,0.36315,0.92756,0.94643,0.97091,0.98759,0.82561,0.71817,0.34799,0.91301,0.00011569,0.00011569,0.00011569
143,4164.34,0.69444,0.3566,0.92679,0.96163,0.95503,0.98786,0.82715,0.71719,0.34431,0.9136,0.000104688,0.000104688,0.000104688
144,4193.21,0.69263,0.35853,0.92844,0.96063,0.9578,0.98773,0.82727,0.7183,0.34126,0.91308,9.36854e-05,9.36854e-05,9.36854e-05
145,4222.08,0.69094,0.35685,0.92129,0.96472,0.95628,0.98779,0.82752,0.71782,0.34102,0.91285,8.26832e-05,8.26832e-05,8.26832e-05
146,4250.99,0.68166,0.35048,0.92068,0.96297,0.95575,0.98757,0.82785,0.71529,0.34172,0.91201,7.1681e-05,7.1681e-05,7.1681e-05
147,4279.86,0.68623,0.3537,0.92243,0.9599,0.95694,0.9872,0.82846,0.71343,0.34103,0.91109,6.06788e-05,6.06788e-05,6.06788e-05
148,4308.72,0.68587,0.35185,0.922,0.96057,0.95649,0.98718,0.82977,0.71183,0.33949,0.91047,4.96766e-05,4.96766e-05,4.96766e-05
149,4337.61,0.67493,0.34597,0.92071,0.96332,0.95592,0.98728,0.83056,0.7101,0.33962,0.90926,3.86744e-05,3.86744e-05,3.86744e-05
150,4366.51,0.66547,0.34187,0.91664,0.96027,0.9586,0.9873,0.83064,0.70992,0.33882,0.90909,2.76722e-05,2.76722e-05,2.76722e-05
