epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2073.37,1.23861,0.64973,1.09119,0.9503,0.95306,0.97183,0.62128,1.21432,0.65618,1.1425,0.000742625,0.000742625,0.000742625
43,2122.6,1.2286,0.64253,1.08729,0.96324,0.94478,0.97308,0.62092,1.22109,0.65015,1.14365,0.00073025,0.00073025,0.00073025
44,2171.83,1.22496,0.64187,1.08889,0.95743,0.94131,0.97153,0.62086,1.22009,0.6855,1.15022,0.000717875,0.000717875,0.000717875
45,2221.15,1.22194,0.63715,1.08713,0.94758,0.94538,0.96644,0.61479,1.22642,0.86397,1.14845,0.0007055,0.0007055,0.0007055
46,2270.38,1.21922,0.63677,1.0859,0.95207,0.95119,0.97191,0.61939,1.20856,0.65872,1.13881,0.000693125,0.000693125,0.000693125
47,2319.59,1.21092,0.6341,1.08116,0.95389,0.94838,0.96776,0.61776,1.21891,0.64839,1.14724,0.00068075,0.00068075,0.00068075
48,2368.79,1.22104,0.63601,1.08628,0.95734,0.94717,0.96946,0.61768,1.22127,0.70382,1.14733,0.000668375,0.000668375,0.000668375
49,2418.05,1.21455,0.63472,1.08613,0.95299,0.94811,0.96857,0.61796,1.21775,0.65018,1.15034,0.000656,0.000656,0.000656
50,2467.24,1.21501,0.62615,1.08664,0.956,0.95021,0.9708,0.62054,1.21774,0.6407,1.14639,0.000643625,0.000643625,0.000643625
51,2516.5,1.21175,0.62717,1.08043,0.95569,0.95259,0.97203,0.62255,1.21915,0.64423,1.14464,0.00063125,0.00063125,0.00063125
52,2565.84,1.19854,0.62363,1.07651,0.95143,0.95664,0.96806,0.6179,1.23806,0.63818,1.15663,0.000618875,0.000618875,0.000618875
53,2615.12,1.2031,0.62604,1.08083,0.95772,0.95303,0.97326,0.62937,1.21049,0.62005,1.13952,0.0006065,0.0006065,0.0006065
54,2664.31,1.20243,0.62253,1.07747,0.95957,0.94846,0.97347,0.62577,1.2161,0.61689,1.14514,0.000594125,0.000594125,0.000594125
55,2713.56,1.19796,0.61979,1.07834,0.95756,0.95309,0.97071,0.62178,1.22396,0.63368,1.15009,0.00058175,0.00058175,0.00058175
56,2762.85,1.19478,0.62168,1.07833,0.95558,0.94932,0.97068,0.62093,1.21883,0.67385,1.14286,0.000569375,0.000569375,0.000569375
57,2812.14,1.19514,0.61312,1.07323,0.95876,0.95016,0.96855,0.62259,1.20983,0.65009,1.14495,0.000557,0.000557,0.000557
58,2861.36,1.19129,0.61392,1.07304,0.95073,0.95071,0.97191,0.62354,1.21547,0.66088,1.14589,0.000544625,0.000544625,0.000544625
59,2910.58,1.19366,0.61401,1.07203,0.95418,0.95293,0.97006,0.62238,1.2096,0.62638,1.14348,0.00053225,0.00053225,0.00053225
60,2959.85,1.18055,0.60922,1.07343,0.95398,0.94956,0.9724,0.62681,1.21528,0.62307,1.15567,0.000519875,0.000519875,0.000519875
61,3009.06,1.18994,0.61274,1.0793,0.95578,0.95288,0.97012,0.62692,1.21319,0.63741,1.14806,0.0005075,0.0005075,0.0005075
62,3058.3,1.17671,0.602,1.07111,0.95622,0.95758,0.97192,0.62559,1.21474,0.64766,1.15376,0.000495125,0.000495125,0.000495125
63,3107.57,1.18294,0.60669,1.07407,0.95645,0.95711,0.97003,0.62593,1.21059,0.62092,1.14647,0.00048275,0.00048275,0.00048275
64,3156.76,1.17798,0.60167,1.07239,0.95841,0.95368,0.97124,0.62309,1.22536,0.62822,1.15953,0.000470375,0.000470375,0.000470375
65,3205.93,1.17466,0.60226,1.07111,0.95306,0.95086,0.96851,0.62161,1.22527,0.62151,1.15234,0.000458,0.000458,0.000458
66,3255.17,1.17065,0.59846,1.07224,0.95492,0.95442,0.97161,0.62482,1.21004,0.61687,1.15025,0.000445625,0.000445625,0.000445625
67,3304.47,1.17094,0.59892,1.07373,0.95491,0.95034,0.96929,0.6258,1.21156,0.6352,1.15142,0.00043325,0.00043325,0.00043325
68,3353.73,1.16269,0.59754,1.06861,0.95498,0.95105,0.97107,0.62338,1.21576,0.59678,1.15495,0.000420875,0.000420875,0.000420875
69,3402.88,1.16561,0.59764,1.06583,0.95996,0.94984,0.9725,0.62886,1.21399,0.60903,1.14892,0.0004085,0.0004085,0.0004085
70,3452.11,1.15291,0.59348,1.06365,0.95909,0.94603,0.97331,0.62782,1.21237,0.6068,1.1503,0.000396125,0.000396125,0.000396125
